Field,LongName,Description,Levels,Units,TermURL,HED
sup_5_y,,Have there been periods of several days or more when your thinking was so clear and quick that it was much better than most other people's? | 0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly,0 = Never or hardly ever | 1 = Sometimes | 2 = Often | 3 = Very often or almost constantly,,,
subj_resp_alc_2a_l,,"The first 5 times you ever drank: How many drinks did it take for you to begin to feel a bit dizzy or to begin to slur your speech? | If never, enter ""0"" / tlfb_alc_use_l   == '1' &&  tlfb_alc_use_c_l   == '0'",,,,
hangover5_l,,"In the past 6 months, what percentage of drinking occasions were followed the next morning by: vomited | 0 = (0%)Never; 1 = (25%)Occasionally; 2 = (50%)About half the time; 3 = (75%)Most of the time; 4 = (100%)Every time / xskipout_alc_l   == '1'",,,,
hangover5_l,,"In the past 6 months, what percentage of drinking occasions were followed the next morning by: vomited | 0 = (0%)Never; 1 = (25%)Occasionally; 2 = (50%)About half the time; 3 = (75%)Most of the time; 4 = (100%)Every time / xskipout_alc_l   == '1'",0 = (0%)Never | 1 = (25%)Occasionally | 2 = (50%)About half the time | 3 = (75%)Most of the time | 4 = (100%)Every time,,,
rapi_section1_q05_l,,Please indicate how many times each has happened to you within the past 6 months while you were drinking or as a result of your alcohol use: caused shame or embarrassment to someone. | 0 = 0; 1 = 1-2; 2 = 3-5; 3 = 5+ / xskipout_alc_l   == '1',,,,
rapi_section1_q05_l,,Please indicate how many times each has happened to you within the past 6 months while you were drinking or as a result of your alcohol use: caused shame or embarrassment to someone. | 0 = 0; 1 = 1-2; 2 = 3-5; 3 = 5+ / xskipout_alc_l   == '1',0 = 0 | 1 = 1-2 | 2 = 3-5 | 3 = 5+,,,
biospec_blood_fluidx_tube,,Transfer Tube (6 ml FluidX tube) Inventory Code (RUCDR barcode on tube):,,,,
biospec_blood_wbc_count,,WBC Count,,,,
biospec_blood_rdw,,RDW,,,,
su_crpf_avail_6,,"Is medical marijuana"" (marijuana prescribed by a doctor) legal in your state? "" | 1=Yes; 0=No; 999=Don't know",,,,
su_crpf_avail_6,,"Is medical marijuana"" (marijuana prescribed by a doctor) legal in your state? "" | 1=Yes; 0=No; 999=Don't know",1 = Yes | 0 = No | 999 = Don't know,,,
su_crpf_avail_10,,"If you wanted to get liquid, sprays, and gases that people sniff or inhale to get high (such as gasoline, glue, and nitrous oxide), how easy would it be for you to get some? | 1=Very Hard; 2=Sort of hard; 3=Sort of easy; 4=Very easy; 999=Don't know",,,,
su_crpf_avail_10,,"If you wanted to get liquid, sprays, and gases that people sniff or inhale to get high (such as gasoline, glue, and nitrous oxide), how easy would it be for you to get some? | 1=Very Hard; 2=Sort of hard; 3=Sort of easy; 4=Very easy; 999=Don't know",1 = Very Hard | 2 = Sort of hard | 3 = Sort of easy | 4 = Very easy | 999 = Don't know,,,
ddis_scr_script_starttme,,Time script was started,,,,
ddis_scr_val_testdelays,,A string variable that stores all tested,,,,
ddis_scr_val_indif_pnt_1yr,,"1 year delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait one year to receive the maximum.",,,,
dim_yesno_q3,,"In the past 12 months, have you felt discriminated against: because someone thought you were gay, lesbian, or bisexual? | 1 = Yes; 0 = No; 777 = Don't know; 999 = Refused to answer",,,,
dim_yesno_q3,,"In the past 12 months, have you felt discriminated against: because someone thought you were gay, lesbian, or bisexual? | 1 = Yes; 0 = No; 777 = Don't know; 999 = Refused to answer",1 = Yes | 0 = No | 777 = Don't know | 999 = Refused to answer,,,
dim_matrix_q3,,How often do the following people treat you unfairly or negatively because of your ethnic background? Other students: | 1 = almost never; 2 = rarely; 3 = sometimes; 4 = often; 5 = very often; 777 = don't know; 999 = refused to answer,,,,
dim_matrix_q3,,How often do the following people treat you unfairly or negatively because of your ethnic background? Other students: | 1 = almost never; 2 = rarely; 3 = sometimes; 4 = often; 5 = very often; 777 = don't know; 999 = refused to answer,1 = almost never | 2 = rarely | 3 = sometimes | 4 = often | 5 = very often | 777 = don't know | 999 = refused to answer,,,
strp_scr_comp_platform,,The platform the script was run on,,,,
strp_scr_acc_congr,,"Proportion correct in ""congruent"" pairings trials (across test blocks)",,,,
strp_scr_inchapfequal_acc,,expressions.Str_IncHapfEqual_ACC,,,,
fitb_s1_q1_y,,"In your opinion, compared to other boys/girls your age, how much physical activity do you do? | 1 = Much less; 2 = A little less; 3 = About the same; 4 = A little more; 5 = Much more",,,,
fitb_s1_q1_y,,"In your opinion, compared to other boys/girls your age, how much physical activity do you do? | 1 = Much less; 2 = A little less; 3 = About the same; 4 = A little more; 5 = Much more",1 = Much less | 2 = A little less | 3 = About the same | 4 = A little more | 5 = Much more,,,
fitf_s4_q7_y,,How often did you have to remove the Fitbit? | 1 = once per day; 2 = twice per day; 3 = 3-4 times per day; 4 = more than 4 times per day,,,,
fitf_s4_q7_y,,How often did you have to remove the Fitbit? | 1 = once per day; 2 = twice per day; 3 = 3-4 times per day; 4 = more than 4 times per day,1 = once per day | 2 = twice per day | 3 = 3-4 times per day | 4 = more than 4 times per day,,,
fitf_s4_q8_y___4,,"When did you take it off (during what activities)? (Can choose more than one) (4, Sleep) | 0 = No; 1 = Yes",,,,
fitf_s4_q8_y___4,,"When did you take it off (during what activities)? (Can choose more than one) (4, Sleep) | 0 = No; 1 = Yes",0 = No | 1 = Yes,,,
gish_m2_y,,How much do you feel like a girl? | 1 = Totally; 2 = Mostly; 3 = Somewhat; 4 = A little; 5 = Not at all; 0 = Decline to answer,,,,
gish_m2_y,,How much do you feel like a girl? | 1 = Totally; 2 = Mostly; 3 = Somewhat; 4 = A little; 5 = Not at all; 0 = Decline to answer,1 = Totally | 2 = Mostly | 3 = Somewhat | 4 = A little | 5 = Not at all | 0 = Decline to answer,,,
gish_m3_y,,How much have you had the wish to be a girl? | 1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer,,,,
gish_m3_y,,How much have you had the wish to be a girl? | 1 = Always; 2 = Often; 3 = Sometimes; 4 = Rarely; 5 = Never; 0 = Decline to answer,1 = Always | 2 = Often | 3 = Sometimes | 4 = Rarely | 5 = Never | 0 = Decline to answer,,,
dna_saliva_recoll_date,,Recollected Saliva DNA sample date collected:,,,,
dna_sal_recollect_3,,Sample recollect request from RUCDR #3? | 1 = Yes; 0 = No [dna_sal_recollect_2] = '1',,,,
dna_sal_recollect_3,,Sample recollect request from RUCDR #3? | 1 = Yes; 0 = No [dna_sal_recollect_2] = '1',1 = Yes | 0 = No,,,
hair_results_cthc_confirm,,Carboxy-THC (marijuana metabolite; pg/10 mg),,,,
hair_results_thc_confirmation,,THC confirmation MS analysis | 1=Pos; 2=Neg; 3=QNS,,,,
hair_results_thc_confirmation,,THC confirmation MS analysis | 1=Pos; 2=Neg; 3=QNS,1 = Pos | 2 = Neg | 3 = QNS,,,
hair_results_etg_quant,,Quantification of EtG (ethanol consumption; pg/mg hair),,,,
kbi_y_det_reason___8,,"For what? Click all that apply: ( 8, Other (fill in blank)) | 0 = No; 1 = Yes",,,,
kbi_y_det_reason___8,,"For what? Click all that apply: ( 8, Other (fill in blank)) | 0 = No; 1 = Yes",0 = No | 1 = Yes,,,
kbi_y_det_reason_new___12,,"For what? Click all that apply: 12, 12, Smoking, vaping or cell use  | 0=No ; 1=Yes [kbi_y_det_susp] = '1' and [event_name_number] > '30'",,,,
kbi_y_det_reason_new___12,,"For what? Click all that apply: 12, 12, Smoking, vaping or cell use  | 0=No ; 1=Yes [kbi_y_det_susp] = '1' and [event_name_number] > '30'",0 = No | 1 = Yes,,,
kbi_grades_repeated___3,," Please indicate what grades you repeated in the past: 3, 3rd  | 0=No ; 1=Yes  [kbi_y_grade_repeat] = '1' and [event-name] = ''3_year_follow_up_y_arm_1''",,,,
kbi_grades_repeated___3,," Please indicate what grades you repeated in the past: 3, 3rd  | 0=No ; 1=Yes  [kbi_y_grade_repeat] = '1' and [event-name] = ''3_year_follow_up_y_arm_1''",0 = No | 1 = Yes,,,
ple_ill_past_yr_y,,Did this happen in the past year? | 1 = Yes; 0 = No,,,,
ple_ill_past_yr_y,,Did this happen in the past year? | 1 = Yes; 0 = No,1 = Yes | 0 = No,,,
ple_victim_y,,Was a victim of crime/violence/assault? | 1 = Yes; 0 = No,,,,
ple_victim_y,,Was a victim of crime/violence/assault? | 1 = Yes; 0 = No,1 = Yes | 0 = No,,,
ple_new_sib_fu2_y,,How much did the event affect you? | 0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot,,,,
ple_new_sib_fu2_y,,How much did the event affect you? | 0 = Not at All; 1 = A Little; 2 = Some; 3 = A lot,0 = Not at All | 1 = A Little | 2 = Some | 3 = A lot,,,
mapi_q08_l,,Please indicate how many times each has happened to you during the last six months while you were smoking marijuana or as the result of your marijuana use: felt that you needed more marijuana than you used to use in order to get the same effect. | 0 = 0; 1 = 1-2; 2 = 3-5; 3 = 6-10; 4 = 10+ / xskipout_mj_l   == '1',,,,
mapi_q08_l,,Please indicate how many times each has happened to you during the last six months while you were smoking marijuana or as the result of your marijuana use: felt that you needed more marijuana than you used to use in order to get the same effect. | 0 = 0; 1 = 1-2; 2 = 3-5; 3 = 6-10; 4 = 10+ / xskipout_mj_l   == '1',0 = 0 | 1 = 1-2 | 2 = 3-5 | 3 = 6-10 | 4 = 10+,,,
su_mj_motiv_09,,Because it's exciting | 1=almost never/never ; 2=some of the time ; 3=half of the time ; 4=most of the time ; 5=almost always/always [xskipout_mj_l] = '1' and [event-name] = 4_year_follow_up_y_arm_1'''',,,,
su_mj_motiv_09,,Because it's exciting | 1=almost never/never ; 2=some of the time ; 3=half of the time ; 4=most of the time ; 5=almost always/always [xskipout_mj_l] = '1' and [event-name] = 4_year_follow_up_y_arm_1'''',1 = almost never/never | 2 = some of the time | 3 = half of the time | 4 = most of the time | 5 = almost always/always,,,
su_mj_motiv_01,,To forget my worries | 1=almost never/never ; 2=some of the time ; 3=half of the time ; 4=most of the time ; 5=almost always/always [xskipout_mj_l] = '1' and [event-name] = 4_year_follow_up_y_arm_1'''',,,,
su_mj_motiv_01,,To forget my worries | 1=almost never/never ; 2=some of the time ; 3=half of the time ; 4=most of the time ; 5=almost always/always [xskipout_mj_l] = '1' and [event-name] = 4_year_follow_up_y_arm_1'''',1 = almost never/never | 2 = some of the time | 3 = half of the time | 4 = most of the time | 5 = almost always/always,,,
mypi_chew_lst_wk,,"Did you use smokeless tobacco, chew, or snus in the last week? | 1 = yes ; 0 = no ; 777 = refuse to answer",,,,
mypi_chew_lst_wk,,"Did you use smokeless tobacco, chew, or snus in the last week? | 1 = yes ; 0 = no ; 777 = refuse to answer",1 = yes | 0 = no | 777 = refuse to answer,,,
mypi_pills_dep_used,,"Have you used prescription anxiolytics, tranquilizers or sedatives such as Xanax, Ativan, Valium, Rohypnol, or sleeping pills in any way a doctor did not direct you to use them at any time in the past 6 months, so from last (name of month 6 months ago) until today? | 1 = yes ; 0 = no ; 777 = refuse to answer",,,,
mypi_pills_dep_used,,"Have you used prescription anxiolytics, tranquilizers or sedatives such as Xanax, Ativan, Valium, Rohypnol, or sleeping pills in any way a doctor did not direct you to use them at any time in the past 6 months, so from last (name of month 6 months ago) until today? | 1 = yes ; 0 = no ; 777 = refuse to answer",1 = yes | 0 = no | 777 = refuse to answer,,,
mypi_alc_first,,Was this the first time you tried alcohol? | 1=yes ; 0=no ; 777=refuse to answer ([mypi_alc_sip] = '1' or [mypi_alc_full_drink] = '1') and ([event-name] = ''30_month_follow_up_arm_1'' or [event-name] = ''42_month_follow_up_arm_1'' OR  [event-name] = '54_month_follow_up_arm_1'),,,,
mypi_alc_first,,Was this the first time you tried alcohol? | 1=yes ; 0=no ; 777=refuse to answer ([mypi_alc_sip] = '1' or [mypi_alc_full_drink] = '1') and ([event-name] = ''30_month_follow_up_arm_1'' or [event-name] = ''42_month_follow_up_arm_1'' OR  [event-name] = '54_month_follow_up_arm_1'),1 = yes | 0 = no | 777 = refuse to answer (,,,
nic_test_y,,"Urine sample collected? | 0=Not applicable (not part of 10% / 15%); 1=Yes; 2=No, participant unable to provide sample; 3=No, participant refused; 5=Institution not authorized to collect samples due to COVID; 6=Staff discomfort due to COVID; 7=Exceed 15min of < 6ft distance from youth (COVID); 8=Not approved by ABCD for collection; 4=No, not collected for other reason",,,,
nic_test_y,,"Urine sample collected? | 0=Not applicable (not part of 10% / 15%); 1=Yes; 2=No, participant unable to provide sample; 3=No, participant refused; 5=Institution not authorized to collect samples due to COVID; 6=Staff discomfort due to COVID; 7=Exceed 15min of < 6ft distance from youth (COVID); 8=Not approved by ABCD for collection; 4=No, not collected for other reason","0 = Not applicable (not part of 10% / 15%) | 1 = Yes | 2 = No, participant unable to provide sample | 3 = No, participant refused | 5 = Institution not authorized to collect samples due to COVID | 6 = Staff discomfort due to COVID | 7 = Exceed 15min of < 6ft distance from youth (COVID) | 8 = Not approved by ABCD for collection | 4 = No, not collected for other reason",,,
nic_dot_y2,,Urine sample COLLECTED (date and time):,,,,
nic2_dot1,,"Urine sample TESTED (date and time): | If urine sample cannot be tested at time of collection, sample can be stored in refrigerator and tested within 4 hours.",,,,
path_nic_dep_q05_l,,I frequently crave tobacco. | 1 = Not true of me at all1; 2 = 2; 3 = 3; 4 = 4; 5 = Extremely true of me5 / xskipout_tob_l   == '1',,,,
path_nic_dep_q05_l,,I frequently crave tobacco. | 1 = Not true of me at all1; 2 = 2; 3 = 3; 4 = 4; 5 = Extremely true of me5 / xskipout_tob_l   == '1',1 = Not true of me at all1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = Extremely true of me5,,,
su_cig_motiv_16,,I often smoke without thinking about it | 1=Not at all true ; 2=A little true ; 3=Somewhat true ; 4=Pretty true ; 5=Very true [xskipout_nic] = 1'' and [event-name] = ''4_year_follow_up_y_arm_1'''',,,,
su_cig_motiv_16,,I often smoke without thinking about it | 1=Not at all true ; 2=A little true ; 3=Somewhat true ; 4=Pretty true ; 5=Very true [xskipout_nic] = 1'' and [event-name] = ''4_year_follow_up_y_arm_1'''',1 = Not at all true | 2 = A little true | 3 = Somewhat true | 4 = Pretty true | 5 = Very true,,,
su_cig_motiv_14,,Smoking makes you feel more relaxed | 1=Not at all true ; 2=A little true ; 3=Somewhat true ; 4=Pretty true ; 5=Very true [xskipout_nic] = 1'' and [event-name] = ''4_year_follow_up_y_arm_1'''',,,,
su_cig_motiv_14,,Smoking makes you feel more relaxed | 1=Not at all true ; 2=A little true ; 3=Somewhat true ; 4=Pretty true ; 5=Very true [xskipout_nic] = 1'' and [event-name] = ''4_year_follow_up_y_arm_1'''',1 = Not at all true | 2 = A little true | 3 = Somewhat true | 4 = Pretty true | 5 = Very true,,,
pds_skin2_y,,"Have you noticed any skin changes, especially pimples? | 1 = skin has not yet started changing; 2 = skin has barely started changing; 3 = skin changes are definitely underway; 4 = skin changes seem complete; 999 = I don't know ; ; 777= refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.",,,,
pds_skin2_y,,"Have you noticed any skin changes, especially pimples? | 1 = skin has not yet started changing; 2 = skin has barely started changing; 3 = skin changes are definitely underway; 4 = skin changes seem complete; 999 = I don't know ; ; 777= refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.","1 = skin has not yet started changing | 2 = skin has barely started changing | 3 = skin changes are definitely underway | 4 = skin changes seem complete | 999 = I don't know | 777 = refuse to answer. The next questions are about changes that may be happening to your body. These changes normally happen to different young people at different ages. Since they may have something to do with your brain image results, do your best to answer carefully. To give you some privacy, we will let you read and answer the questions on your own. However, if you would like help reading or you don't understand the questions, just let me know and I can help you.",,,
menstrualcycle1_y,,"What was the date of the first day of your/your child's last period? | The following questions are about the history of your menstrual cycle. If you do not remember specific details, just try to answer as best you can.",,,,
menstrualcycle7_y,,"On average, how long does your menstrual period (bleeding) last? | 0=1-2 days; 1=3-7 days; 2=More than 7 days  [pds_f5_y] = '4' and [event-name] = ''3_year_follow_up_y_arm_1''",,,,
menstrualcycle7_y,,"On average, how long does your menstrual period (bleeding) last? | 0=1-2 days; 1=3-7 days; 2=More than 7 days  [pds_f5_y] = '4' and [event-name] = ''3_year_follow_up_y_arm_1''",0 = 1-2 days | 1 = 3-7 days | 2 = More than 7 days,,,
prescan_scared_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Scared | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,,,,
prescan_scared_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Scared | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
prescan_excited_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,,,,
prescan_excited_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
prescan_scared_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Scared | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; pre_scan_need == 1,,,,
prescan_scared_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Scared | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; pre_scan_need == 1,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
prescan_excited_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; pre_scan_need == 1,,,,
prescan_excited_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; pre_scan_need == 1,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
postscan_afraid_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Afraid | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,,,,
postscan_afraid_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Afraid | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
postscan_excited_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,,,,
postscan_excited_1,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
postscan_afraid_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Afraid | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely//postscan_2_need == 1 ,,,,
postscan_afraid_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Afraid | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely//postscan_2_need == 1 ,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
postscan_excited_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; postscan_2_need == 1,,,,
postscan_excited_2,,This is a list of words that describe different feelings and emotions. Indicate how much you feel this way now.  1= little to none; and 5=extremely; Excited | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; postscan_2_need == 1,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
physical_activity2_y,,"On how many of the past 7 days did you do exercises to strengthen or tone your muscles, such as push-ups, sit-ups, or weight lifting? | 1 = 0 days; 2 = 1 day; 3 = 2 days; 4 = 3 days; 5 = 4 days; 6 = 5 days; 7 = 6 days; 8 = 7 days",,,,
physical_activity2_y,,"On how many of the past 7 days did you do exercises to strengthen or tone your muscles, such as push-ups, sit-ups, or weight lifting? | 1 = 0 days; 2 = 1 day; 3 = 2 days; 4 = 3 days; 5 = 4 days; 6 = 5 days; 7 = 6 days; 8 = 7 days",1 = 0 days | 2 = 1 day | 3 = 2 days | 4 = 3 days | 5 = 4 days | 6 = 5 days | 7 = 6 days | 8 = 7 days,,,
sag_days_skip_school,,"How many days did you skip school without an excuse during the past 4 weeks? <u> Do not count days that were excused, like when school is on vacation or you have a note from your parent or doctor.</u> | 0=0 Days; 1=1 day; 2=2 days; 3=3 days; 4=4-5 days; 5=6-10 days; 6=11+ days; -1=Not Applicable",,,,
sag_days_skip_school,,"How many days did you skip school without an excuse during the past 4 weeks? <u> Do not count days that were excused, like when school is on vacation or you have a note from your parent or doctor.</u> | 0=0 Days; 1=1 day; 2=2 days; 3=3 days; 4=4-5 days; 5=6-10 days; 6=11+ days; -1=Not Applicable",0 = 0 Days | 1 = 1 day | 2 = 2 days | 3 = 3 days | 4 = 4-5 days | 5 = 6-10 days | 6 = 11+ days | -1 = Not Applicable,,,
resiliency6b_y,,"How many CLOSE friends that are girls do you have? | Now we want ask you how many CLOSE (best) friends you have. Close friends are those you like spending time with, have fun with, and trust.  Values greater than ""100"" were truncated at ""100"".",,,,
resiliency_admin,,Please indicate how instrument was administered: | 1=RA-Administered ; 2=Youth Self Administered ; 3=Combination [event_name_number] > 30,,,,
resiliency_admin,,Please indicate how instrument was administered: | 1=RA-Administered ; 2=Youth Self Administered ; 3=Combination [event_name_number] > 30,1 = RA-Administered | 2 = Youth Self Administered | 3 = Combination [event_name_number] > 30,,,
bpm_y_scr_attention_nt,,Number Total Questions,,,,
bpm_y_ss_internal_nm,,Number Missing Answers,,,,
bpm_y_scr_totalprob_r,,Raw Score: bpm_1_y plus bpm_2_y plus bpm_3_y plus bpm_4_y plus bpm_5_y plus bpm_6_y plus bpm_7_y plus bpm_8_y plus bpm_9_y plus bpm_10_y plus bpm_11_y plus bpm_12_y plus bpm_13_y plus bpm_14_y plus bpm_15_y plus bpm_16_y plus bpm_17_y plus bpm_18_y plus bpm_19_y; Validation: All items must be answered,,,,
tlfb_bsalts_date1,,"When did you first try CATHINONES such as BATH SALTS, drone, M-cat, MDVP or meph? | // Now I'm going to ask how old you were you when you first tried each of the drugs we have been talking about, and how old you were when you first started using the drug regularly (which means using it every week for at least SIX MONTHS).",,,,
tlfb_bsalts_max,,"Cathinones (Bath salts, done, M-cat, MDVP or meph): (mg) | (mg) // Great, now I'd like to know the largest amount of each drug that you have ever had in your life in one sitting. I am going to measure this in standard units, I will help explain that for each drug you have used.",,,,
caff_intake_6,,"Typically, how many drinks of the following beverages did you have per week in the past 6 months? Soda with caffeine (Mountain Dew, Jolt, Coke, Pepsi, Dr. Pepper, Barq's root beer) | Enter as DECIMAL.Typical serving size - 1 Can (12 oz) // Interviewer: determine typical average number of standard caffeine (use typical serving)drinks per week in the past six months. If they drink less than weekly, then input the fraction representing weekly use. For example, if someone has 2 coffees a month the math would be 2/4 because there are 4 weeks in one month, the answer is 0.5 per week- so enter ""0.5"". If they had 1 coffee per month it would be 1/4=""0.25. If someone only had 1 coffee in past 6 months it would be 1/24 because there are 24 weeks in 6 months= the answer is "".04""; this is the smallest possible answer.",,,,
peer_deviance_1_l,,How many of your friends currently: smoke cigarettes | 0 = None; 1 = A Few; 2 = Some; 3 = Most; 4 = All / tlfb_tob_l  =='1' ||  tlfb_tob_c_l  =='1',,,,
peer_deviance_1_l,,How many of your friends currently: smoke cigarettes | 0 = None; 1 = A Few; 2 = Some; 3 = Most; 4 = All / tlfb_tob_l  =='1' ||  tlfb_tob_c_l  =='1',0 = None | 1 = A Few | 2 = Some | 3 = Most | 4 = All,,,
phs_6_y,,How much do you think people risk harming themselves (physically or in other ways) if they smoking one or more packs of cigarettes per day? | 0 = No Risk; 1 = Slight Risk; 2 = Moderate Risk; 3 = Great Risk; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1',,,,
phs_6_y,,How much do you think people risk harming themselves (physically or in other ways) if they smoking one or more packs of cigarettes per day? | 0 = No Risk; 1 = Slight Risk; 2 = Moderate Risk; 3 = Great Risk; 999 = Don't Know / tlfb_tob_l   == '1' ||  tlfb_tob_c_l   == '1',0 = No Risk | 1 = Slight Risk | 2 = Moderate Risk | 3 = Great Risk | 999 = Don't Know,,,
su_sry_give_3,,"Marijuana (cannabis, weed) | 0=Never ; 1=Just a few times ; 2=Many times ; 999=Don't Know [su_sry_3]=1 or [su_sry_3]=2 or [su_sry_3]=3 or [su_sry_3]=4",,,,
su_sry_give_3,,"Marijuana (cannabis, weed) | 0=Never ; 1=Just a few times ; 2=Many times ; 999=Don't Know [su_sry_3]=1 or [su_sry_3]=2 or [su_sry_3]=3 or [su_sry_3]=4",0 = Never | 1 = Just a few times | 2 = Many times | 999 = Don't Know,,,
isip_6_l,,"Do you remember when this happened, or did you find out later (for example: your parents or somebody else told you about it)? | 1 = I remember it; 2 = I don't remember it - somebody told me about it /( isip_1b_yn_l   == '1' && ( isip_1d_c_l   == '0' ||   isip_2_c_l   == '0' ||  isip_3_c_l   == '0' ||  isip_4_c_l   == '0' ||  isip_5_c_l   == '0' ||  isip_6_c_l   == '0')) || ( isip_1b_c_l   == '1' && ( isip_2_c_l   == '0' ||  isip_3_c_l   == '0' ||  isip_4_c_l   == '0' ||  isip_5_c_l   == '0' ||  isip_6_c_l   == '0'))",,,,
isip_6_l,,"Do you remember when this happened, or did you find out later (for example: your parents or somebody else told you about it)? | 1 = I remember it; 2 = I don't remember it - somebody told me about it /( isip_1b_yn_l   == '1' && ( isip_1d_c_l   == '0' ||   isip_2_c_l   == '0' ||  isip_3_c_l   == '0' ||  isip_4_c_l   == '0' ||  isip_5_c_l   == '0' ||  isip_6_c_l   == '0')) || ( isip_1b_c_l   == '1' && ( isip_2_c_l   == '0' ||  isip_3_c_l   == '0' ||  isip_4_c_l   == '0' ||  isip_5_c_l   == '0' ||  isip_6_c_l   == '0'))",1 = I remember it | 2 = I don't remember it - somebody told me about it,,,
tlfb_salvia_first_use,,Was this the first time you tried HALLUCINOGEN DRUG: SALVIA? | 1 = Yes; 0 = No / tlfb_salvia_use_l  == '1' &&  event_name_number  > '11',,,,
